,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,3,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,-1.0211311204763587,-1.4642110769239576,0.10509869132298204,0.7044911238401688,-0.7188121701460275,1.1037953712149045,-0.010618978433116096,-0.6600330122350914,0.6575299283818279,0.6356843569288168,0.377846106782594,1.0896359384059906,1.9962412416934967
1,4,1,RF_maintenance,0.0,0.0,0.0,0.0,1.0,0.0,0.7255315813747926,1.640006326352413,-0.3895489218430998,-0.9247398691338904,-0.2002751879144371,-0.25415247772533633,-0.13100129997863094,1.9498956578376545,0.6700278203189004,0.6460728056751323,0.37557135845024586,10.905790328979492,18.79802179336548
2,5,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-1.0589644310262465,-1.210619873216886,-1.0675356507003708,-0.912068405403433,-0.1353778005575369,0.683218679041083,0.8019808562156798,0.6748402135380484,0.674620117494411,0.6507322143258548,0.37030831965433886,1.1638643145561218,1.7581491768360138
3,15,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.14136147344194339,1.3438453396083885,0.776048474292028,0.7463219477180218,0.03426675897110168,1.6154990450797775,0.53554451825317,1.2785951026287112,0.6702660636461361,0.65634771653146,0.35915884034060797,0.8337675184011459,1.2603438794612885
4,16,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.6772959970129354,-1.1791244227812905,-0.43621606652307654,-0.4038411149298251,-0.36761490038678085,-0.7990584640841942,0.3036373442427903,1.8545068632069228,0.682053843872437,0.6677071601016632,0.3606953269770098,1.0664874017238617,1.032792568206787
5,17,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.6284923329753686,2.144443084021281,-0.01897191695457503,-0.6142096281077759,0.3546551151326487,0.9003174769526436,3.3054508731635153,1.2242051976326196,0.6754466651430886,0.6608494304803424,0.3520471676353335,1.1951506733894348,1.7984562516212463
6,18,1,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,-0.027140665473065307,12.17138786040682,1.2134058894584268,-0.025332414447276446,-0.23180708881056233,12.874475452628506,-0.33217715218549687,30.901306804339686,0.6865008163046828,0.5229437254703445,0.43889796784170365,7.0145241022109985,5.080096244812012
7,27,1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,22.35990432953847,34.077226718198425,53.0967678719265,56.617224306834274,27.602146738059545,32.27481036614908,3.2210227947197554,3.243897782545052,0.19253368397978626,0.07118040371768368,0.11454249064458213,4.691211223602295,1.511115849018097
8,28,1,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,18.5944220481241,7.237844237058265,1.1293966006401168,2.619198615856687,62.66118236173013,1.9717161147979778,78.38625544244161,1.644569782955085,0.21623871085618437,0.33972116870803815,-0.09395920528687579,4.628504753112793,18.457426071166992
9,29,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.9459459459459459,-1.193850210610353,-1.1571458194122595,-0.6210419409516391,0.3880284956183623,0.08270650974585253,-1.3362249802698962,-0.4664728832825289,-0.1132917724274416,0.6976642152421396,0.6790678453415989,0.3532495788393537,10.481603145599365,12.633826971054077
10,30,1,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,1.0711770626084463,1.5868799290883595,9.00582635941326,11.7532101776029,2.7033686737075486,2.9411970158720226,0.6449464055821,1.1377500840066492,0.6934033218466794,0.6816078449136609,0.3563398459055254,6.721582651138306,7.080586671829224
11,45,5,RF_maintenance,1.0,0.0,1.0,0.0,1.0,0.0,0.6014603511085789,31.462038822178638,-0.9919704672187728,54.608367693400126,-0.8560862892896858,29.545160550226246,-0.24776822526493103,2.6114567119091516,0.6979916646601673,0.12484514565058898,0.48600664646914854,4.21609354019165,1.2545292973518372
12,46,5,digital_ok,0.0,0.0,0.0,0.0,0.0,1.0,-0.07466696526125248,-0.03757748127188599,-0.3309889408141451,0.8942914505962603,1.3157670951823002,-0.004805267058480276,2.299950402441414,0.06756713381597979,0.6912396754804879,0.6916602353349669,0.35930180377125903,-7.50399160379569e-17,-9.629681169115073e-17
