,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,45,5,RF_maintenance,1.0,0.0,1.0,0.0,1.4682689909178468,35.23464633462046,-0.39248622385059434,37.95656059664932,-1.9630668965298184,59.69013007561281,1.3532653880329728,6.251495979317004,0.6403755055868722,0.10458958418042169,0.3693839488036092
1,46,5,digital_ok,1.0,0.0,0.0,0.0,2.660919846777962,1.115317015368084,-0.1022392133031362,0.7732275275765189,-0.6649549593409059,8.01619848408611,2.4155085661986053,2.516649407738776,0.6477424116800815,0.6576077636398666,0.3462516814619928
2,73,5,RF_maintenance,0.0,0.0,0.0,0.0,2.36499166682858,2.616571417714796,0.6312835463636056,0.20183680200806806,3.428931622368174,-0.7704085848296003,1.130034962160509,0.10065727120846779,0.6622124005182929,0.6925881376579236,0.33908676873101307
3,81,7,digital_ok,1.0,0.0,0.0,0.0,0.03145191798890639,0.3082667805365076,-0.012560311792723936,0.6280845130046132,2.611518357596202,5.67638541561997,1.9111414502594188,2.49699998341541,0.6487824215769015,0.6404756574518021,0.33562120342827934
4,82,7,RF_maintenance,1.0,0.0,0.0,0.0,10.527950535966868,2.3698980912668324,0.40077527890243475,0.4693632883974814,29.465194754126376,1.0911692149477488,5.093811391185348,1.430417279855957,0.6579898380396928,0.671866930201401,0.3319046301250519
5,83,7,digital_ok,1.0,1.0,1.0,0.0,28.533175679984538,37.60472352020115,33.667419603922305,35.22289097444842,45.35402905831695,62.72712123379933,4.772939597662083,5.075910325163828,0.053053873189053115,0.06540544639831113,0.004665228314832822
6,84,8,RF_maintenance,1.0,0.0,0.0,0.0,11.470848291780506,2.4691028424233195,13.93957593494561,5.466748570457612,34.429981964619024,16.143719255589513,-5.3339210416874945,-2.0444688739228947,0.6795178160267156,0.7079471500861498,0.29172070305156966
7,87,8,digital_ok,1.0,0.0,0.0,0.0,2.882107118033492,2.004335197988482,6.94875037139729,5.281012429745058,0.8626437541823506,3.547530961372908,3.754426303159005,13.830818414706526,0.686215774463385,0.7275615689279517,0.30813240664507624
8,88,9,digital_ok,1.0,1.0,1.0,0.0,0.073743044343714,3.8407338096321397,6.309554565130471,3.2110759555041843,2.071821265260199,2.8389772296044584,2.5854398581177476,2.5524494297398865,0.16803800076294184,0.18940461944292633,0.04130877630871882
9,90,9,RF_maintenance,1.0,1.0,1.0,0.0,3.224753526393593,1.6702123830655953,2.172146599155942,0.4091695106621617,15.051975001222837,6.7070908046607745,27.974819760519257,11.614185390575951,0.13133425652855432,0.11374131575925409,0.01699908505661737
